ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000006.SH,20250820,4619.0364,4596.2935,4623.6364,4570.2125,4617.4789,1.5575,0.0337,8154269.0,4869029.0
000006.SH,20250819,4617.4789,4649.1762,4673.734,4616.1136,4636.4911,-19.0122,-0.4101,10701555.0,6236960.6
000006.SH,20250818,4636.4911,4669.0286,4678.9958,4636.4911,4663.649,-27.1579,-0.5823,11032840.0,6313500.1
000006.SH,20250815,4663.649,4624.4905,4688.9841,4623.2774,4623.3275,40.3215,0.8721,12564557.0,6977254.5
000006.SH,20250814,4623.3275,4663.885,4709.5302,4620.5052,4658.5946,-35.2671,-0.757,10324404.0,5659366.7
000006.SH,20250813,4658.5946,4684.317,4692.0726,4650.3636,4675.0112,-16.4166,-0.3512,7614411.0,4234146.6
000006.SH,20250812,4675.0112,4683.1241,4702.4377,4669.8173,4682.8107,-7.7995,-0.1666,7018741.0,3757764.9
000006.SH,20250811,4682.8107,4697.1105,4713.2419,4680.2318,4683.3218,-0.5111,-0.0109,9663810.0,4856479.4
000006.SH,20250808,4683.3218,4663.6249,4692.7144,4650.553,4668.3358,14.986,0.321,6564237.0,3567850.3
000006.SH,20250807,4668.3358,4631.6491,4673.3172,4622.1264,4630.628,37.7078,0.8143,7116183.0,4006199.1
000006.SH,20250806,4630.628,4638.6184,4642.0704,4613.3915,4639.7117,-9.0837,-0.1958,6060970.0,3315650.0
000006.SH,20250805,4639.7117,4610.0387,4646.1688,4604.8309,4608.9515,30.7602,0.6674,6220311.0,3532409.3
000006.SH,20250804,4608.9515,4604.7026,4613.8455,4587.6074,4604.8125,4.139,0.0899,5954426.0,3389662.0
000006.SH,20250801,4604.8125,4618.536,4643.3061,4599.161,4626.8728,-22.0603,-0.4768,6465277.0,3809518.1
000006.SH,20250731,4626.8728,4738.3905,4739.6852,4611.1794,4747.7221,-120.8493,-2.5454,12754952.0,7611908.1
000006.SH,20250730,4747.7221,4776.559,4811.0708,4743.5131,4786.407,-38.6849,-0.8082,8980977.0,5640181.1
000006.SH,20250729,4786.407,4781.4277,4805.8524,4758.2746,4788.4554,-2.0484,-0.0428,7990688.0,4623961.3
000006.SH,20250728,4788.4554,4779.8887,4812.2089,4737.6911,4788.7758,-0.3204,-0.0067,8931450.0,5164097.4
000006.SH,20250725,4788.7758,4805.5094,4816.3343,4777.9237,4809.2927,-20.5169,-0.4266,9902089.0,6001432.7
000006.SH,20250724,4809.2927,4761.8431,4834.9947,4742.3391,4774.1718,35.1209,0.7356,11055920.0,6256301.0
000006.SH,20250723,4774.1718,4821.1585,4847.9269,4767.981,4807.0532,-32.8814,-0.684,12481273.0,6838525.7
000006.SH,20250722,4807.0532,4737.388,4818.3435,4700.0725,4730.166,76.8872,1.6255,12871387.0,7047030.7
000006.SH,20250721,4730.166,4742.5214,4762.266,4721.3286,4704.1542,26.0118,0.553,8434680.0,4506859.1
000006.SH,20250718,4704.1542,4703.6664,4708.9689,4680.4884,4687.9115,16.2427,0.3465,5013768.0,2840909.9
000006.SH,20250717,4687.9115,4700.7036,4723.8506,4666.2192,4787.713,-99.8015,-2.0845,6338379.0,3524056.1
000006.SH,20250716,4787.713,4801.4435,4818.5776,4765.0504,4811.6132,-23.9002,-0.4967,6315819.0,3661098.6
000006.SH,20250715,4811.6132,4849.5154,4854.1033,4770.9621,4851.4791,-39.8659,-0.8217,9603086.0,5465793.0
000006.SH,20250714,4851.4791,4876.8785,4903.5591,4849.4211,4881.1413,-29.6622,-0.6077,8566332.0,5010099.4
000006.SH,20250711,4881.1413,4885.4371,4935.6945,4871.6932,4882.8329,-1.6916,-0.0346,10641197.0,6322319.8
000006.SH,20250710,4882.8329,4758.5456,4911.3828,4758.1924,4754.3918,128.4411,2.7015,12524688.0,7235462.0
000006.SH,20250709,4754.3918,4750.6411,4776.0292,4742.0986,4747.7617,6.6301,0.1396,7072233.0,4091907.4
000006.SH,20250708,4747.7617,4730.1299,4759.3318,4712.1263,4734.2467,13.515,0.2855,6149227.0,3372775.7
000006.SH,20250707,4734.2467,4670.7878,4741.8766,4668.113,4675.1663,59.0804,1.2637,7990631.0,4152848.0
000006.SH,20250704,4675.1663,4681.0916,4700.6153,4656.8562,4674.1232,1.0431,0.0223,5548750.0,3022923.2
000006.SH,20250703,4674.1232,4656.6106,4684.2665,4656.6106,4658.3567,15.7665,0.3385,5910392.0,3144832.4
000006.SH,20250702,4658.3567,4621.1903,4663.2095,4605.6779,4618.029,40.3277,0.8733,6354756.0,3429152.0
000006.SH,20250701,4618.029,4646.5184,4649.1661,4608.6815,4636.3781,-18.3491,-0.3958,5656766.0,3267945.6
000006.SH,20250630,4636.3781,4630.5323,4659.3315,4621.6958,4623.6943,12.6838,0.2743,6049957.0,3235703.9
000006.SH,20250627,4623.6943,4646.3411,4695.2089,4618.5429,4648.0452,-24.3509,-0.5239,6818055.0,3847160.1
000006.SH,20250626,4648.0452,4655.1444,4656.9978,4630.882,4656.7445,-8.6993,-0.1868,5348834.0,2954488.9
000006.SH,20250625,4656.7445,4606.568,4659.9943,4591.189,4606.5262,50.2183,1.0902,6805098.0,3600459.4
000006.SH,20250624,4606.5262,4556.9491,4609.8474,4556.2534,4548.9745,57.5517,1.2652,5891327.0,3149226.4
000006.SH,20250623,4548.9745,4522.4977,4561.8708,4493.1747,4544.5643,4.4102,0.097,4686589.0,2528252.2
