ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000028.SZ,20250822,25.94,26.01,25.81,25.97,25.98,-0.010000000000001563,-0.04,45661.1,118224.772
000028.SZ,20250821,26.02,26.1,25.89,25.98,25.99,-0.00999999999999801,-0.04,58651.73,152477.324
000028.SZ,20250820,25.78,26.0,25.65,25.99,25.87,0.11999999999999744,0.46,37695.4,97317.045
000028.SZ,20250819,25.87,26.03,25.81,25.87,25.87,0.0,0.0,43993.05,114094.473
000028.SZ,20250818,25.95,25.99,25.78,25.87,25.82,0.05000000000000071,0.19,53519.7,138604.035
000028.SZ,20250815,25.62,25.87,25.58,25.82,25.59,0.23000000000000043,0.9,42935.7,110588.312
000028.SZ,20250814,25.8,25.94,25.55,25.59,25.77,-0.17999999999999972,-0.7,42610.4,109696.185
000028.SZ,20250813,25.77,25.84,25.63,25.77,25.74,0.030000000000001137,0.12,36221.8,93238.334
000028.SZ,20250812,25.72,26.01,25.7,25.74,25.73,0.00999999999999801,0.04,46184.6,119286.128
000028.SZ,20250811,25.6,25.74,25.55,25.73,25.57,0.16000000000000014,0.63,29506.93,75703.515
000028.SZ,20250808,25.56,25.66,25.5,25.57,25.56,0.010000000000001563,0.04,23576.2,60300.249
000028.SZ,20250807,25.67,25.76,25.53,25.56,25.67,-0.11000000000000298,-0.43,30153.9,77223.392
000028.SZ,20250806,25.79,25.81,25.57,25.67,25.8,-0.129999999999999,-0.5,34591.34,88701.096
000028.SZ,20250805,25.81,25.88,25.68,25.8,25.8,0.0,0.0,27915.9,71934.23
000028.SZ,20250804,25.61,25.9,25.5,25.8,25.77,0.030000000000001137,0.12,36635.31,94014.735
000028.SZ,20250801,25.53,25.96,25.48,25.77,25.47,0.3000000000000007,1.18,55031.2,141923.707
000028.SZ,20250731,25.85,25.9,25.39,25.47,25.92,-0.45000000000000284,-1.74,56225.7,143946.425
000028.SZ,20250730,25.79,26.25,25.68,25.92,25.76,0.16000000000000014,0.62,72138.21,187739.911
000028.SZ,20250729,25.76,25.78,25.42,25.76,25.66,0.10000000000000142,0.39,38295.53,98032.431
000028.SZ,20250728,25.81,25.9,25.61,25.66,25.74,-0.0799999999999983,-0.31,40799.36,104987.301
000028.SZ,20250725,25.85,26.15,25.74,25.74,25.82,-0.08000000000000185,-0.31,59701.5,154599.202
000028.SZ,20250724,25.55,25.85,25.49,25.82,25.48,0.33999999999999986,1.33,48446.63,124493.63
000028.SZ,20250723,25.6,25.85,25.44,25.48,25.54,-0.05999999999999872,-0.23,62811.04,161181.812
000028.SZ,20250722,25.41,25.55,25.28,25.54,25.38,0.16000000000000014,0.63,46857.3,119189.981
000028.SZ,20250721,25.25,25.4,25.21,25.38,25.26,0.11999999999999744,0.48,40958.41,103712.23
000028.SZ,20250718,25.17,25.26,25.09,25.26,25.15,0.11000000000000298,0.44,34386.27,86529.135
000028.SZ,20250717,25.21,25.3,25.04,25.15,25.2,-0.05000000000000071,-0.2,29606.6,74407.643
000028.SZ,20250716,25.02,25.21,25.02,25.2,25.0,0.1999999999999993,0.8,31344.0,78686.285
000028.SZ,20250715,25.36,25.39,24.91,25.0,25.34,-0.33999999999999986,-1.34,42141.6,105599.368
000028.SZ,20250714,25.27,25.44,25.27,25.34,25.3,0.03999999999999915,0.16,28399.02,72014.123
000028.SZ,20250711,25.22,25.37,25.18,25.3,25.21,0.08999999999999986,0.36,43060.61,108895.282
000028.SZ,20250710,25.04,25.22,25.03,25.21,25.02,0.19000000000000128,0.76,36080.88,90736.724
000028.SZ,20250709,25.04,25.15,24.98,25.02,25.04,-0.019999999999999574,-0.08,28972.41,72627.737
000028.SZ,20250708,25.0,25.1,24.94,25.04,25.02,0.019999999999999574,0.08,29641.34,74154.052
000028.SZ,20250707,25.02,25.12,25.0,25.02,25.03,-0.010000000000001563,-0.04,21046.7,52709.125
000028.SZ,20250704,25.05,25.16,24.98,25.03,25.05,-0.019999999999999574,-0.08,27163.9,68090.028
000028.SZ,20250703,25.11,25.18,24.96,25.05,25.11,-0.05999999999999872,-0.24,25956.7,65100.367
000028.SZ,20250702,24.97,25.12,24.91,25.11,24.97,0.14000000000000057,0.56,24297.16,60744.599
000028.SZ,20250701,24.89,25.02,24.86,24.97,24.93,0.03999999999999915,0.16,25609.6,63895.363
000028.SZ,20250630,24.87,24.98,24.8,24.93,24.87,0.05999999999999872,0.24,23640.44,58914.836
000028.SZ,20250627,24.82,24.97,24.82,24.87,24.8,0.07000000000000028,0.28,17416.59,43362.956
000028.SZ,20250626,24.8,24.85,24.72,24.8,24.79,0.010000000000001563,0.04,18820.11,46686.186
000028.SZ,20250625,24.65,24.82,24.55,24.79,24.61,0.17999999999999972,0.73,30120.92,74347.869
000028.SZ,20250624,24.45,24.65,24.44,24.61,24.45,0.16000000000000014,0.65,31375.19,78244.569
000028.SZ,20250623,24.38,24.54,24.24,24.45,24.47,-0.019999999999999574,-0.08,15813.33,39150.392
000028.SZ,20250620,24.45,24.58,24.44,24.47,24.44,0.029999999999997584,0.12,15982.7,39746.57
000028.SZ,20250619,24.66,24.74,24.36,24.44,24.7,-0.259999999999998,-1.05,24422.5,60766.081
000028.SZ,20250618,24.91,24.91,24.64,24.7,24.93,-0.23000000000000043,-0.92,19538.8,49028.066
000028.SZ,20250617,24.97,25.1,24.84,24.93,24.92,0.00999999999999801,0.04,19467.8,49300.417
000028.SZ,20250616,24.96,25.11,24.85,24.92,25.1,-0.17999999999999972,-0.72,32555.0,82428.854
000028.SZ,20250613,25.48,25.7,25.1,25.1,25.53,-0.4299999999999997,-1.68,42338.91,108900.054
000028.SZ,20250612,25.52,25.77,25.41,25.53,25.55,-0.019999999999999574,-0.08,36130.3,93743.919
000028.SZ,20250611,25.61,25.8,25.35,25.55,25.7,-0.14999999999999858,-0.58,63353.46,164224.753
000028.SZ,20250610,25.17,26.23,25.01,25.7,25.12,0.5799999999999983,2.31,104069.1,270641.272
000028.SZ,20250609,25.02,25.2,24.92,25.12,25.0,0.120000000000001,0.48,26913.54,68624.66
000028.SZ,20250606,25.07,25.12,24.96,25.0,25.06,-0.05999999999999872,-0.24,14340.77,36448.398
