title,link,text,date
西南财经大学师生收听收看纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会实况,info/1003/114861.htm,西南财经大学师生收听收看纪念中国人民抗日战争暨世界反法西斯战争胜...,2025.09.03
百年西财迎来2025级新生,info/1003/114851.htm,百年西财迎来2025级新生,2025.09.02
学校为抗战老同志颁发“中国人民抗日战争胜利80周年”纪念章,info/1003/114841.htm,学校为抗战老同志颁发“中国人民抗日战争胜利80周年”纪念章,2025.09.01
学校开展新学期校园安全检查,info/1003/114831.htm,学校开展新学期校园安全检查,2025.09.01
学校召开2025年秋季学期中层干部会议,info/1003/114821.htm,学校召开2025年秋季学期中层干部会议,2025.08.29
学校召开干部教师会议宣布校领导副职任免决定,info/1003/114791.htm,学校召开干部教师会议宣布校领导副职任免决定,2025.08.29
我校国家自然科学基金立项取得好成绩,info/1003/114811.htm,我校国家自然科学基金立项取得好成绩,2025.08.29
学校三项成果获2025年度四川省科学技术奖，创历史最好成绩,info/1003/114801.htm,学校三项成果获2025年度四川省科学技术奖，创历史最好成绩,2025.08.29
“中国系列”原创性教材《中国金融学》西财版重磅推出,info/1003/114781.htm,“中国系列”原创性教材《中国金融学》西财版重磅推出,2025.08.20
学校六名教师在2025年四川省高校思政课中青年教师“精彩一课”讲课比赛决赛中斩获佳绩,info/1003/114771.htm,学校六名教师在2025年四川省高校思政课中青年教师“精彩一课”讲课比...,2025.08.03
校领导现场检查指导本科招生录取工作,info/1003/114761.htm,校领导现场检查指导本科招生录取工作,2025.07.30
校领导赴新疆开展访企拓岗专项行动 助力毕业生扎根西部建功立业,info/1003/114751.htm,校领导赴新疆开展访企拓岗专项行动 助力毕业生扎根西部建功立业,2025.07.29
聚焦科创人才培养 共绘创新发展蓝图——成渝地区双城经济圈科创CEO成长特训营专题调研工作座谈会召开,info/1003/114741.htm,聚焦科创人才培养 共绘创新发展蓝图——成渝地区双城经济圈科创CEO成...,2025.07.24
